"","game_id","play_id","avg_play_efficiency","peak_frame_efficiency","final_frame_efficiency","total_frames_analyzed","nfl_id","player_name"
"1",2023091004,592,6.98696705958885,14.0911631568671,14.0911631568671,19,56056,"Trey Palmer"
"2",2023091004,695,25.8576198185535,77.6865717867121,69.7199970002129,28,56056,"Trey Palmer"
"3",2023091004,1839,15.7076088472774,26.1862789922577,26.1862789922577,32,56056,"Trey Palmer"
"4",2023091004,2177,12.6059394157515,24.3680663316464,24.3680663316464,33,56056,"Trey Palmer"
"5",2023091004,2505,11.0615057377218,27.5465621201288,27.5465621201288,15,56056,"Trey Palmer"
"6",2023091004,2850,20.0330148253493,32.9289517215864,28.25472261284,35,56056,"Trey Palmer"
"7",2023091004,3849,13.8909806909173,21.5152084543006,21.1304820016977,22,56056,"Trey Palmer"
"8",2023091004,3874,12.1062868929101,23.2086256636865,20.7891146179617,17,56056,"Trey Palmer"
"9",2023091004,3922,12.114483676873,17.9795035345005,9.99097044218522,29,56056,"Trey Palmer"
"10",2023091004,4249,39.4738051723936,53.122779345791,53.122779345791,21,56056,"Trey Palmer"
"11",2023091706,237,31.782579857067,55.8339245232879,55.4144161318313,29,56056,"Trey Palmer"
"12",2023091706,676,33.4758676736225,98.3027429509424,98.3027429509424,31,56056,"Trey Palmer"
"13",2023091706,844,13.6373494751321,23.3445711138254,21.9562769495768,22,56056,"Trey Palmer"
"14",2023091706,1087,15.492755505535,27.7406161280281,19.2077281692122,51,56056,"Trey Palmer"
"15",2023091706,1361,10.9674595976843,16.0262324382033,15.6449275585405,27,56056,"Trey Palmer"
"16",2023091706,1703,9.59110545410076,17.7227237119733,17.7227237119733,20,56056,"Trey Palmer"
"17",2023091706,1750,34.8002115736312,120.399747088932,120.399747088932,26,56056,"Trey Palmer"
"18",2023091706,1852,10.4765030332071,21.270910060179,21.270910060179,20,56056,"Trey Palmer"
"19",2023091706,1882,30.2060445511187,118.08314170097,118.08314170097,28,56056,"Trey Palmer"
"20",2023091706,2465,28.6002867471244,93.8531327744817,93.8531327744817,40,56056,"Trey Palmer"
"21",2023091706,2583,32.1817425116092,80.9596057187524,80.9596057187524,27,56056,"Trey Palmer"
"22",2023091706,2962,28.5797258413355,112.729589470032,112.729589470032,27,56056,"Trey Palmer"
"23",2023091706,3751,20.0219928789918,30.040836147974,30.040836147974,26,56056,"Trey Palmer"
"24",2023092500,100,7.12338225648443,14.8496000595732,14.8496000595732,18,56056,"Trey Palmer"
"25",2023092500,180,9.10602406495425,24.9182847105702,24.9182847105702,29,56056,"Trey Palmer"
"26",2023092500,418,4.3467331805722,10.4657658230143,5.34333813263816,28,56056,"Trey Palmer"
"27",2023092500,450,-0.105276872419557,0,-0.136457537028444,16,56056,"Trey Palmer"
"28",2023092500,861,24.4002109907291,60.715399895123,60.715399895123,29,56056,"Trey Palmer"
"29",2023092500,1081,1.98893380749844,15.2866668061234,15.2866668061234,16,56056,"Trey Palmer"
"30",2023092500,1155,4.81047586446645,15.6015356150184,15.6015356150184,15,56056,"Trey Palmer"
"31",2023092500,1180,15.4095227381541,44.3822863282739,39.4073861281604,32,56056,"Trey Palmer"
"32",2023092500,1384,18.408095284427,28.4920511254827,28.4920511254827,26,56056,"Trey Palmer"
"33",2023092500,2007,31.1528078879345,53.8109574873049,34.1515052190475,35,56056,"Trey Palmer"
